Ragione Sociale;Data contabile;Data valuta;Banca;Rapporto;Importo;Divisa;Descrizione;Categoria/sottocategoria;Hashtag
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1484;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13922740/90491830 FAVORE Carotenuto Antonella - ADD.TOT - Carotenuto stip 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-926;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13922406/90491286 FAVORE Russo Carmine - ADD.TOT - Russo stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-0,75;EUR;COMM.SU BONIFICI - NS RIF. MB0B13920550 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-952,03;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13917109/90479724 FAVORE Ariante Marcella - ADD.TOT - Ariante stip 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1599;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13709496/90475837 FAVORE Moscato Emanuele - ADD.TOT - Moscato stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13917969 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1620;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13917969/90481431 FAVORE Taiano Luigi - ADD.TOT - Taiano stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1406;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13919352/90485835 FAVORE Parisi Antonio - ADD.TOT - Parisi stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13917109 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-715;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13920550/90487984 FAVORE Murolo Mario - ADD.TOT - Murolo stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;4,5;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 04/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13919777 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;400,1;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 05/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13921643 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13924091 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13919352 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;265;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 04/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-3,94;EUR;ADDEBITO DIRETTO SDD - SDD CORE: 7043090000009009507195 AMERICAN EXPRESS PAYMENTS EUSL;Altre passività - Addebito carta di credito;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;227,2;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 06/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1004;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 04/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;223,1;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 04/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13922406 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;811,2;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 05/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13923640 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1012,3;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 05/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-438,95;EUR;PAG. UTENZE VARIE - BOLL.CBILL AGENZIA DELLE ENTRATE - R CBILL 180071110618698323;Tasse - Imposte e contributi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;9;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 05/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13922740 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;335,8;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 03/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13546337 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;19,1;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 03/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;767,2;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 06/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1893,56;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13546337/90218950 FAVORE G.I.A.L. S.R.L - ADD.TOT - saldo fatture V1-50172 V1-47782;Fornitori - Materie prime, beni e servizi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-2,85;EUR;COMMISSIONI - BOLL.CBILL AGENZIA DELLE ENTRATE - R CBILL 180071110618698323;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;360,7;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 06/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;6880;EUR;VERS. CONTANTI - VVVVV;Ricavi - Deposito contanti;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;890,4;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 03/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1;EUR;COMMISSIONI - Comm.sdd: 7043090000007175816701;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1007,7;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 04/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-4,63;EUR;ADDEBITO DIRETTO SDD - SDD CORE: 7043090000007175816701 AMERICAN EXPRESS PAYMENTS EUSL;Operazioni Finanziarie - Provvigioni POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;964;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 03/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-621;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13709753/90476235 FAVORE Cascella Giorgio - ADD.TOT - Cascella stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1;EUR;COMMISSIONI - Comm.sdd: 7043090000009009507195;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13709070 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-549;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13709070/90475136 FAVORE Capezzuto Alessandro - ADD.TOT - Capezzuto stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;141,6;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 05/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;31,5;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 05/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;162,9;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 06/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;66,2;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 03/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;08/01/2025;08/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B14479918 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;08/01/2025;08/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1525;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B14479918/90359340 FAVORE HG-MS.NET S.R.L. - ADD.TOT - saldo fattura 259;Fornitori - Materie prime, beni e servizi;
CERALDI GROUP S.R.L.;08/01/2025;08/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;642;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 07/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;08/01/2025;08/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;106,8;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 07/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;09/01/2025;09/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;369,1;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 08/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;09/01/2025;09/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-4,5;EUR;ADDEBITO DIRETTO SDD - SDD CORE: AEU8Z94044320000993605 NEXI CORSO SEMPIONE,;Altre passività - Addebito carta di credito;
CERALDI GROUP S.R.L.;09/01/2025;04/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-954,95;EUR;PRELIEVO ASSEGNO - DM 02008 CRA: 25008800036407 NUM: 0208768644;Fornitori - Generico;
CERALDI GROUP S.R.L.;09/01/2025;09/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-4,5;EUR;ADDEBITO DIRETTO SDD - SDD CORE: AEU8Z96694970001745094 NEXI CORSO SEMPIONE,;Altre passività - Addebito carta di credito;
CERALDI GROUP S.R.L.;09/01/2025;09/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1160;EUR;VERS. CONTANTI - VVVVV;Ricavi - Deposito contanti;
CERALDI GROUP S.R.L.;09/01/2025;09/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;81,4;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 08/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;10/01/2025;10/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;52,4;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 09/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;10/01/2025;09/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-601,61;EUR;PRELIEVO ASSEGNO - DM 03047 CRA: 25000155075104 NUM: 0208768645;Fornitori - Materie prime, beni e servizi;
CERALDI GROUP S.R.L.;10/01/2025;10/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;167,3;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 09/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;10/01/2025;10/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;511,4;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 09/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;175,5;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 11/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-234,92;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT84988694/00420244 FAVORE Saima S.P.A NOTPROVIDE - sldo fattura 1/211719;Fornitori - Generico;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-3317,16;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT84980857/00408868 FAVORE Dolciaria Acquaviva S.p.A. NOTPROVIDE - saldo fatture 479012 477983 476555 475087 473793 473603;Fornitori - Materie prime, beni e servizi;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;162,7;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 12/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT84980857 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT84988694 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-419,96;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT84969230/00393965 FAVORE DF Baldassarre SRL NOTPROVIDE - SALDO FATTURA 5102;Fornitori - Generico;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1136,47;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT84973422/00399480 FAVORE Saima S.P.A NOTPROVIDE - SALDO FAATTURE 1/228934 1/225948 1/220009 1/214772 1/209764;Fornitori - Materie prime, beni e servizi;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;617,9;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 12/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;3240;EUR;VERS. CONTANTI - VVVVV;Ricavi - Deposito contanti;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;100,7;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 10/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;121,4;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 10/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;401,2;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 10/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;13/01/2025;13/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT84973422 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
